,Dupl,Name,Value,KarmaAdj,Tags,Dupl,GUID,Models,Secret,Frequency,Density,WeightKG,HazardRating,Insurable,FailCost,TransportModels,GLimitMin,GLimitMax,DamageGPerSec,KarmaMin,KarmaMax,XPScoreMin,XPScoreMax,FlightHoursMin,FlightHoursMax
1,✔️,Junk Mail,250,0.1,any;junk;,✔️,0dacd722-11f5-42b6-8b83-ee05c07810f7,ASO_CarUtility01;,0,1,2,30,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Razer Gaming Laptops,"2,500",0.1,any;,✔️,6ce9891f-e0ef-46b6-9989-361d6456ef30,ASO_CarUtility01;,0,1,3,45,3,1,1,Skypark Truck Flatbed;,-3,3,1,-42,42,0,9999999,0,9999999
1,✔️,Wood,"1,500",0.1,any;,✔️,723fc387-b032-4846-a4c5-39893bb90421,ASO_CarUtility01;,0,1,4,60,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Building Supplies,"4,500",0.1,any;,✔️,d6cf02ae-0496-48a5-97aa-dbed50cf73c1,ASO_CarUtility01;,0,1,6,90,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Fuel,"1,750",0.1,any;,✔️,f1efff63-c39a-4bde-a27a-244eb6e35df1,ASO_CarUtility01;,0,1,4,60,3,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Tools,"2,500",0.1,any;,✔️,64bf09ed-ad65-4c8f-b0c1-3cc30b8ec4f7,ASO_CarUtility01;,0,1,5,75,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Power Generators,"8,500",0.1,any;,✔️,f8d5b14c-345f-498e-bff9-800c40431e65,ASO_CarUtility01;,0,1,6,90,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Mail & Parcel Post,"7,000",0.1,any;,✔️,be7ca6f7-b9ac-4930-a798-7a8214e5f2f4,ASO_CarUtility01;,0,1,1,15,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Motor Oil,"2,600",0.1,any;,✔️,2654a80a-eefc-4dc9-96dc-902125a15603,ASO_CarUtility01;,0,1,4,60,3,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,10,9999999,0,9999999
1,✔️,Dynamite,"3,200",0.1,any;,✔️,3aea6df3-ea16-49e2-81ef-9279cdcf4467,ASO_CarUtility01;,0,1,4,60,3,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,100,9999999,0,9999999
1,✔️,Animal Feed,450,0.1,any;,✔️,a34bbe2e-34c7-4f28-9d4f-8e690ff71d3e,ASO_CarUtility01;,0,1,4,60,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Flour,260,0,any;,✔️,dcb05c1d-d789-4b1d-937f-be6b8db9cffb,ASO_CarUtility01;,0,1,3,45,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Pop Sockets,423,0.1,any;,✔️,bdb66dd7-e88f-4805-8299-f1f801882410,ASO_CarUtility01;,0,1,2,30,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Skypads,"2,500",0.1,adv;drives-skypark,✔️,c637e8ba-0f7a-4ff9-9e0f-50a8c3358453,ASO_CarUtility01;,0,1,2,30,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Gas Generators,698,0.1,any;,✔️,99172975-f5d5-4012-90d9-dee289f79701,ASO_CarUtility01;,0,1,7,105,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Teak Wood Panels,"2,500",0.1,any;,✔️,4638fbe4-9fc5-445e-8ae8-f6f1b97f256a,ASO_CarUtility01;,0,1,6,90,2,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Compressed Gas Tanks,450,0.1,any;,✔️,06ecb2a0-00f3-45c2-be0d-99ffe4b25a1c,ASO_CarUtility01;,0,1,4,60,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Liquified Gas Tanks,400,0.1,any;,✔️,3d032c87-2edf-49a0-b967-6c8a5b08ad78,ASO_CarUtility01;,0,1,4,60,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Petroleum Gas,"3,000",0.1,any;,✔️,ada0ccab-8de0-456c-b664-448eccd1c8a0,ASO_CarUtility01;,0,1,2,30,3,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Chicken Nuggets,25,0.1,any;food;food-chicken;,✔️,aa8cbe9a-8728-4814-9942-54717fdbff8a,ASO_CarUtility01;,0,1,5,75,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Crate of Rum Bottles,500,0.1,any;food;food-rum;,✔️,1cd8c7dd-382d-4fbe-ae79-2ecc522dee20,ASO_CarUtility01;,0,1,6,90,1,1,1,Skypark Truck Flatbed;,-2,5,1,-42,42,0,9999999,0,9999999
1,✔️,Tundra Tire Set,856,0.1,any;,✔️,9fe72cbe-96f1-4e36-b7cb-7c2d2d25d0cf,ASO_CarUtility01;,0,1,6,90,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Coal Gas,"5,504",0.1,gas;,✔️,9390e7a9-9ee8-4e8b-a076-a46e843779d6,ASO_CarUtility01;,0,1,1,15,3,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Tungsten Cubes,169,0.1,metals;,✔️,a4ba4369-e41f-4e78-831a-173b12bb16a3,ASO_CarUtility01;,0,1,3,45,3,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Paperboard,53,0.1,fabric;,✔️,bde1193a-d604-4de6-b5f8-76e39317ebf5,ASO_CarUtility01;,0,1,2,30,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Pyrotechnic Devices,90,0.1,hazerdous-explosives,✔️,c9667f36-f47f-44ae-b997-7658d35e3de9,ASO_CarUtility01;,0,1,3,45,3,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
1,✔️,Electric Scooters,"2,325",0.1,toys,✔️,747211c6-aedd-4d42-9299-12d53301ae9c,ASO_CarUtility01;,0,1,5,75,1,1,1,Skypark Truck Flatbed;,-15,15,1,-42,42,0,9999999,0,9999999
